model,runtime,track,repeat,outcome,is_model_valid,pass_29,pass_25,working_29,working_25,energy_j,energy_valid,exit_code,duration_s
qwen3-coder-30b,vllm,node,2,scored,1,0.0,0.0,0,0,21555.85,1,0,794.407
qwen3-coder-30b,vllm,node,20,scored,1,0.0,,0,,82.89,1,0,4.295
qwen3-coder-30b,vllm,node,3,scored,1,0.8621,0.84,1,1,17810.81,1,0,701.887
qwen3-coder-30b,vllm,node,4,scored,1,0.0345,0.04,0,0,20816.93,1,0,749.039
qwen3-coder-30b,vllm,node,5,scored,1,0.9655,1.0,1,1,20684.57,1,0,760.14
qwen3-coder-30b,vllm,node,6,scored,1,0.0,,0,,91.64,1,0,4.624
qwen3-coder-30b,vllm,node,7,scored,1,0.0345,0.04,0,0,38710.33,1,0,1333.755
qwen3-coder-30b,vllm,node,8,scored,1,0.7931,0.8,1,1,19942.67,1,0,654.169
qwen3-coder-30b,vllm,node,9,scored,1,0.0345,0.04,0,0,27553.75,1,0,903.095
qwen3-coder-30b,vllm,python,1,scored,1,0.0345,0.04,0,0,12315.46,1,0,462.712
qwen3-coder-30b,vllm,python,2,scored,1,0.0,0.0,0,0,29532.9,1,0,1068.104
qwen3-coder-30b,vllm,python,3,scored,1,0.0,0.0,0,0,24921.72,1,0,899.21
qwen3-coder-30b,vllm,python,4,scored,1,0.0,0.0,0,0,19345.5,1,0,707.782
qwen3-coder-30b,vllm,python,5,scored,1,0.0,0.0,0,0,22875.15,1,0,833.725
qwen3-coder-30b,vllm,python,6,scored,1,0.0,0.0,0,0,19054.19,1,0,694.714
qwen3-coder-30b,vllm,python,7,scored,1,0.0,0.0,0,0,23676.31,1,0,854.749
qwen3-coder-30b,vllm,python,8,scored,1,0.0,0.0,0,0,16488.43,1,0,607.698
